"packageID","versionNumber","prepType","packageClassification","nupkgName","downloadUrlRegex","installerName","disabled","errorMessage"
"jre8","","custom","programmer","jre8.8.0.271.nupkg","(?<=(""|'))http.*(?=(""|'))","","",""
"vlc","","none","all","vlc.3.0.11.nupkg","","","",""
"firefox","","none","all","Firefox.84.0.1.nupkg","","","",""
"gitkraken","","auto","programmer","gitkraken.7.3.2.nupkg","(?<=(""|'))http.*(?=(""|'))","","",""
"autohotkey.portable","","none","programmer","autohotkey.portable.1.1.33.02.nupkg","","","",""
"chocolatey-core.extension","","none","all","chocolatey-core.extension.1.3.5.1.nupkg","","","",""
"chocolatey-windowsupdate.extension","","none","all","chocolatey-windowsupdate.extension.1.0.4.nupkg","","","",""
"dotnet4.7.2","","none","all","dotnet4.7.2.4.7.2.20180712.nupkg","","","",""
"dotnetfx","","auto","all","dotnetfx.4.8.0.20190930.nupkg","(?<=(""|'))http.*(?=(""|'))","","",""
"chocolatey-dotnetfx.extension","","none","all","chocolatey-dotnetfx.extension.1.0.1.nupkg","","","",""
"git.install","","none","programmer","git.install.2.30.0.nupkg","","","",""
"googlechrome","","auto","all","GoogleChrome.87.0.4280.88.nupkg","(?<=(""|'))http.*(?=(""|'))","","",""
"KB2670838","","auto","all","KB2670838.1.0.20181019.nupkg","(?<=(""|'))http.*(?=(""|'))","","",""
"KB2919355","","auto","all","KB2919355.1.0.20160915.nupkg","(?<=(""|'))http.*(?=(""|'))","","",""
"KB2919442","","auto","all","KB2919442.1.0.20160915.nupkg","(?<=(""|'))http.*(?=(""|'))","","",""
"KB2999226","","auto","all","KB2999226.1.0.20181019.nupkg","(?<=(""|'))http.*(?=(""|'))","","",""
"KB3033929","","auto","all","KB3033929.1.0.5.nupkg","(?<=(""|'))http.*(?=(""|'))","","",""
"KB3035131","","auto","all","KB3035131.1.0.3.nupkg","(?<=(""|'))http.*(?=(""|'))","","",""
"microsoft-windows-terminal","","none","programmer","microsoft-windows-terminal.1.4.3243.0.nupkg","","","",""
"paint.net","","none","all","paint.net.4.2.14.nupkg","","","",""
"putty.install","","none","programmer","putty.install.0.74.nupkg","","","",""
"vcredist140","","custom","all","vcredist140.14.28.29325.2.nupkg","","","",""
"frc-radioconfigurationutility","","auto","programmer","frc-radioconfigurationutility.20.0.0.nupkg","(?<=(""|'))http.*(?=(""|'))","","",""
"ni-frcgametools","","auto","programmer","ni-frcgametools.19.0.0.20201215.nupkg","(?<=(""|'))http.*(?=(""|'))","","",""
"wpilib","","auto","programmer","wpilib.2020.3.2.nupkg","(?<=(""|'))http.*(?=(""|'))","","",""
